period,location,lag,correlation
Full study period,Bromma,-3,0.7749884563091748
Full study period,Bromma,-2,0.8142083519452342
Full study period,Bromma,-1,0.8403979826863509
Full study period,Bromma,0,0.8036357635834374
Full study period,Bromma,1,0.7178953501666001
Full study period,Bromma,2,0.5936030455601817
Full study period,Bromma,3,0.4481891027904376
Full study period,Grödinge,-3,0.7051652597473935
Full study period,Grödinge,-2,0.7470521720849379
Full study period,Grödinge,-1,0.7907925297881642
Full study period,Grödinge,0,0.8015447646228927
Full study period,Grödinge,1,0.7809882337471974
Full study period,Grödinge,2,0.7233709856165483
Full study period,Grödinge,3,0.5910436846079605
Full study period,Gävle,-3,0.5821158576199404
Full study period,Gävle,-2,0.6041650284650448
Full study period,Gävle,-1,0.7231359089264094
Full study period,Gävle,0,0.8359126771899763
Full study period,Gävle,1,0.8490216665241291
Full study period,Gävle,2,0.8202771734177515
Full study period,Gävle,3,0.7361733767910511
Full study period,Göteborg,-3,0.267397901118354
Full study period,Göteborg,-2,0.3746387084235914
Full study period,Göteborg,-1,0.49243244199555386
Full study period,Göteborg,0,0.5321961767413399
Full study period,Göteborg,1,0.6057382580465004
Full study period,Göteborg,2,0.5487260777099837
Full study period,Göteborg,3,0.6112787557867305
Full study period,Helsingborg,-3,0.7400719957969304
Full study period,Helsingborg,-2,0.7601068982043326
Full study period,Helsingborg,-1,0.7975074888883475
Full study period,Helsingborg,0,0.776996722052518
Full study period,Helsingborg,1,0.76462616280264
Full study period,Helsingborg,2,0.6027255857334116
Full study period,Helsingborg,3,0.479848954178343
Full study period,Henriksdal,-3,0.7040052238430932
Full study period,Henriksdal,-2,0.8001061358532012
Full study period,Henriksdal,-1,0.8662228013288571
Full study period,Henriksdal,0,0.8955735565289248
Full study period,Henriksdal,1,0.8640007990410097
Full study period,Henriksdal,2,0.7889676226526664
Full study period,Henriksdal,3,0.6756803373908534
Full study period,Jönköping,-3,0.6726467724605808
Full study period,Jönköping,-2,0.7801924383272199
Full study period,Jönköping,-1,0.8017468676185799
Full study period,Jönköping,0,0.8586417968377535
Full study period,Jönköping,1,0.8487716378607536
Full study period,Jönköping,2,0.7220417034510317
Full study period,Jönköping,3,0.5914271652250475
Full study period,Kalmar,-3,0.563726886962839
Full study period,Kalmar,-2,0.6921634923832696
Full study period,Kalmar,-1,0.8302122428618782
Full study period,Kalmar,0,0.911405567527357
Full study period,Kalmar,1,0.8982617058134891
Full study period,Kalmar,2,0.8172955420757088
Full study period,Kalmar,3,0.6521363617066348
Full study period,Karlstad,-3,0.6157861222583147
Full study period,Karlstad,-2,0.7348566995993655
Full study period,Karlstad,-1,0.8120073215342427
Full study period,Karlstad,0,0.8507813001194824
Full study period,Karlstad,1,0.8042400425766221
Full study period,Karlstad,2,0.7392415770384282
Full study period,Karlstad,3,0.6011271241912108
Full study period,Käppala,-3,0.602982885105478
Full study period,Käppala,-2,0.6741274788047985
Full study period,Käppala,-1,0.7470219588705139
Full study period,Käppala,0,0.790405396588719
Full study period,Käppala,1,0.7605925126499812
Full study period,Käppala,2,0.659249702760435
Full study period,Käppala,3,0.522484736849715
Full study period,Linköping,-3,0.7431538494261879
Full study period,Linköping,-2,0.8363722247618538
Full study period,Linköping,-1,0.8896673667324791
Full study period,Linköping,0,0.8593982138458031
Full study period,Linköping,1,0.6950121576055311
Full study period,Linköping,2,0.6020313217972767
Full study period,Linköping,3,0.4840288115440057
Full study period,Luleå,-3,0.24727608756769248
Full study period,Luleå,-2,0.3483124613739802
Full study period,Luleå,-1,0.480388744466905
Full study period,Luleå,0,0.6540846016393735
Full study period,Luleå,1,0.5934831704924315
Full study period,Luleå,2,0.4783979209978455
Full study period,Luleå,3,0.5059357065787524
Full study period,Malmö,-3,0.6814794217009567
Full study period,Malmö,-2,0.7593695637538288
Full study period,Malmö,-1,0.8361539073187044
Full study period,Malmö,0,0.7648540275399208
Full study period,Malmö,1,0.692916019969268
Full study period,Malmö,2,0.6048979169551255
Full study period,Malmö,3,0.5192395726827964
Full study period,Umeå,-3,0.6024411122860801
Full study period,Umeå,-2,0.6668830678688082
Full study period,Umeå,-1,0.7891460942780174
Full study period,Umeå,0,0.8907588061865762
Full study period,Umeå,1,0.8093038691352158
Full study period,Umeå,2,0.6297729585448563
Full study period,Umeå,3,0.5028642526382332
Full study period,Uppsala,-3,0.5053110434287088
Full study period,Uppsala,-2,0.6654027235836516
Full study period,Uppsala,-1,0.7268112592070686
Full study period,Uppsala,0,0.8004234386911062
Full study period,Uppsala,1,0.7949404496996756
Full study period,Uppsala,2,0.6145609860102816
Full study period,Uppsala,3,0.6318404591862875
Full study period,Västerås,-3,0.5459472749505097
Full study period,Västerås,-2,0.6684656743721648
Full study period,Västerås,-1,0.7663121544941077
Full study period,Västerås,0,0.8234323263127601
Full study period,Västerås,1,0.7860578689465071
Full study period,Västerås,2,0.6378893418309939
Full study period,Västerås,3,0.46867013514857764
Full study period,Örebro,-3,0.6279936244382898
Full study period,Örebro,-2,0.7471106656038125
Full study period,Örebro,-1,0.859796022853265
Full study period,Örebro,0,0.8595970105062247
Full study period,Örebro,1,0.8058217984465342
Full study period,Örebro,2,0.6780101748977315
Full study period,Örebro,3,0.5337325867288337
Full study period,Östersund,-3,0.42027991079641047
Full study period,Östersund,-2,0.5719240090896317
Full study period,Östersund,-1,0.6466950410810213
Full study period,Östersund,0,0.7891722192475711
Full study period,Östersund,1,0.8760914316430386
Full study period,Östersund,2,0.7411974814639499
Full study period,Östersund,3,0.6312332240660802
Full study period,Östhammar,-3,0.4013967751912948
Full study period,Östhammar,-2,0.5995061051628431
Full study period,Östhammar,-1,0.6633297127884449
Full study period,Östhammar,0,0.6060826311330993
Full study period,Östhammar,1,0.4682668690395232
Full study period,Östhammar,2,0.35132864896057153
Full study period,Östhammar,3,0.18147849895801993
Full study period,Stockholm,-3,0.6602761708806523
Full study period,Stockholm,-2,0.7621281616435491
Full study period,Stockholm,-1,0.8338657491865551
Full study period,Stockholm,0,0.8705521324794565
Full study period,Stockholm,1,0.8144549729043766
Full study period,Stockholm,2,0.7129236754895614
Full study period,Stockholm,3,0.5665677631271584
Full study period,National,-3,0.5901194051795398
Full study period,National,-2,0.6985232838514436
Full study period,National,-1,0.8082819727461547
Full study period,National,0,0.8723763055457262
Full study period,National,1,0.8628713693549148
Full study period,National,2,0.7380212035448258
Full study period,National,3,0.6694347719271474
Increase,Bromma,-3,-0.3353021537566329
Increase,Bromma,-2,0.2687903740464989
Increase,Bromma,-1,0.6445680531491809
Increase,Bromma,0,0.863070951247906
Increase,Bromma,1,0.5180942456865044
Increase,Bromma,2,0.08402115958795123
Increase,Bromma,3,-0.22305161776498578
Increase,Grödinge,-3,0.009231912878295024
Increase,Grödinge,-2,0.29027743367236364
Increase,Grödinge,-1,0.7282206970408471
Increase,Grödinge,0,0.8501189799170357
Increase,Grödinge,1,0.4149636217222824
Increase,Grödinge,2,-0.038877735362290514
Increase,Grödinge,3,-0.32781555448158384
Increase,Gävle,-3,-0.3154610577121744
Increase,Gävle,-2,0.07767314741827956
Increase,Gävle,-1,0.22684557431495853
Increase,Gävle,0,0.9185714870742018
Increase,Gävle,1,0.44688694197006557
Increase,Gävle,2,0.4981271479445669
Increase,Gävle,3,-0.04686715196437973
Increase,Göteborg,-3,-0.20214822575479957
Increase,Göteborg,-2,0.48167857911723516
Increase,Göteborg,-1,0.7212060391601489
Increase,Göteborg,0,0.7571895843593838
Increase,Göteborg,1,0.38174441304678663
Increase,Göteborg,2,9.559899652934235e-4
Increase,Göteborg,3,-0.26210453780165843
Increase,Helsingborg,-3,0.18673008240921013
Increase,Helsingborg,-2,0.708892433601995
Increase,Helsingborg,-1,0.5710936108619691
Increase,Helsingborg,0,0.189130426345645
Increase,Helsingborg,1,0.08369409816121925
Increase,Helsingborg,2,-0.13813355229379637
Increase,Helsingborg,3,-0.3808356828547173
Increase,Henriksdal,-3,-0.027115470353401668
Increase,Henriksdal,-2,0.2695235152524612
Increase,Henriksdal,-1,0.5905099426265605
Increase,Henriksdal,0,0.9395917760848694
Increase,Henriksdal,1,0.5534815707414646
Increase,Henriksdal,2,0.04111954143978374
Increase,Henriksdal,3,-0.2818831680007769
Increase,Jönköping,-3,0.014407925123526294
Increase,Jönköping,-2,0.037073429531483806
Increase,Jönköping,-1,0.006332269577333648
Increase,Jönköping,0,0.7642837626255828
Increase,Jönköping,1,0.4880592608067566
Increase,Jönköping,2,0.11854097541099022
Increase,Jönköping,3,-0.15227661760607913
Increase,Kalmar,-3,-0.11863496408812818
Increase,Kalmar,-2,-0.003137875747220297
Increase,Kalmar,-1,0.17067635139728238
Increase,Kalmar,0,0.804018588172665
Increase,Kalmar,1,0.6528586805165617
Increase,Kalmar,2,0.1742491956709884
Increase,Kalmar,3,-0.1569637730614332
Increase,Karlstad,-3,-0.23977941855920895
Increase,Karlstad,-2,-0.026781507255502667
Increase,Karlstad,-1,0.639121238216109
Increase,Karlstad,0,0.7893231113915419
Increase,Karlstad,1,0.4834956182047359
Increase,Karlstad,2,0.22372546629260592
Increase,Karlstad,3,-0.19474787510072758
Increase,Käppala,-3,-0.23133800447989955
Increase,Käppala,-2,-0.09752986236366998
Increase,Käppala,-1,0.2628886245068273
Increase,Käppala,0,0.9018779559404113
Increase,Käppala,1,0.6806037335977126
Increase,Käppala,2,0.23833942612967088
Increase,Käppala,3,-0.08727767783867753
Increase,Linköping,-3,-0.5089293117707596
Increase,Linköping,-2,0.017777655079265885
Increase,Linköping,-1,0.6163033680145303
Increase,Linköping,0,0.9424675232885363
Increase,Linköping,1,0.2549386853923628
Increase,Linköping,2,-0.2919392166236193
Increase,Linköping,3,-0.41055132592006427
Increase,Luleå,-3,-0.16123358065480137
Increase,Luleå,-2,-0.5153399967397444
Increase,Luleå,-1,-0.33649510422838036
Increase,Luleå,0,0.7723451671399205
Increase,Luleå,1,0.5737619489518991
Increase,Luleå,2,-0.07545746532762133
Increase,Luleå,3,-0.42242881474455457
Increase,Malmö,-3,-0.1692907811123464
Increase,Malmö,-2,-0.0683824055232405
Increase,Malmö,-1,0.8478746987922088
Increase,Malmö,0,0.43591633051653955
Increase,Malmö,1,0.2081951298560502
Increase,Malmö,2,0.061684635038706546
Increase,Malmö,3,-0.0764130176216352
Increase,Umeå,-3,-0.23444280035087528
Increase,Umeå,-2,0.4411716286708489
Increase,Umeå,-1,0.6642394149452371
Increase,Umeå,0,0.8831251269165346
Increase,Umeå,1,0.35642613292139963
Increase,Umeå,2,0.043964608692537696
Increase,Umeå,3,-0.2964100825683024
Increase,Uppsala,-3,-0.30938809587236343
Increase,Uppsala,-2,0.22935151292812256
Increase,Uppsala,-1,0.6042802067590947
Increase,Uppsala,0,0.955298305589647
Increase,Uppsala,1,0.4720600828494062
Increase,Uppsala,2,0.15128244168662922
Increase,Uppsala,3,-0.21348067319822514
Increase,Västerås,-3,-0.08311335163058929
Increase,Västerås,-2,0.1195717682678955
Increase,Västerås,-1,0.1472820588118093
Increase,Västerås,0,0.7099441650708704
Increase,Västerås,1,0.6384422316274412
Increase,Västerås,2,0.1847990632413201
Increase,Västerås,3,-0.16569957472057537
Increase,Örebro,-3,-0.1968920583854656
Increase,Örebro,-2,0.007614085087270371
Increase,Örebro,-1,0.25073369376862903
Increase,Örebro,0,0.8414560899241305
Increase,Örebro,1,0.6394693670118643
Increase,Örebro,2,0.33679454108919576
Increase,Örebro,3,-0.10489091867733376
Increase,Östersund,-3,-0.19565671417867003
Increase,Östersund,-2,0.05225092060172438
Increase,Östersund,-1,0.3125303790779308
Increase,Östersund,0,0.7479808739385645
Increase,Östersund,1,0.8297580856898765
Increase,Östersund,2,0.21065842006264124
Increase,Östersund,3,-0.10001711263453111
Increase,Östhammar,-3,-0.2365929395976235
Increase,Östhammar,-2,-0.19016370493638748
Increase,Östhammar,-1,0.33394047635140567
Increase,Östhammar,0,0.8920642748381905
Increase,Östhammar,1,0.547999760568658
Increase,Östhammar,2,0.2762115903216303
Increase,Östhammar,3,-0.0901136047465904
Increase,Stockholm,-3,-0.2261341969858013
Increase,Stockholm,-2,0.15456028535012661
Increase,Stockholm,-1,0.557548081783776
Increase,Stockholm,0,0.9814971057895845
Increase,Stockholm,1,0.6315803641654597
Increase,Stockholm,2,0.13109489758124965
Increase,Stockholm,3,-0.21612389183502898
Increase,National,-3,-0.22379442758339418
Increase,National,-2,0.16057368868222258
Increase,National,-1,0.6440593275623826
Increase,National,0,0.9882402804544079
Increase,National,1,0.5639850390195418
Increase,National,2,0.14104684846158685
Increase,National,3,-0.203212635782997
Decrease,Bromma,-3,-0.09977618813393573
Decrease,Bromma,-2,0.1899047652373088
Decrease,Bromma,-1,0.5642844760495332
Decrease,Bromma,0,0.9882179021319675
Decrease,Bromma,1,0.48094340658051
Decrease,Bromma,2,0.055195921689042034
Decrease,Bromma,3,-0.16051937570631197
Decrease,Grödinge,-3,-0.14199685015822014
Decrease,Grödinge,-2,0.180038576888503
Decrease,Grödinge,-1,0.5794279567670598
Decrease,Grödinge,0,0.9923168926416177
Decrease,Grödinge,1,0.576338381149958
Decrease,Grödinge,2,0.12898239209588971
Decrease,Grödinge,3,-0.2240155517935918
Decrease,Gävle,-3,-0.15674089131336122
Decrease,Gävle,-2,0.2848340974023346
Decrease,Gävle,-1,0.7237349466128375
Decrease,Gävle,0,0.9448546162679422
Decrease,Gävle,1,0.5665673636903835
Decrease,Gävle,2,-0.005397608913355061
Decrease,Gävle,3,-0.3390825743142496
Decrease,Göteborg,-3,5.141485590556678e-4
Decrease,Göteborg,-2,0.28446791345611533
Decrease,Göteborg,-1,0.643919600318354
Decrease,Göteborg,0,0.6922106629008703
Decrease,Göteborg,1,0.017612835980875676
Decrease,Göteborg,2,-0.08367863107107346
Decrease,Göteborg,3,-0.16371903322848608
Decrease,Helsingborg,-3,-0.13748577507250756
Decrease,Helsingborg,-2,0.21196794186583182
Decrease,Helsingborg,-1,0.6100872595407463
Decrease,Helsingborg,0,0.9837249154525028
Decrease,Helsingborg,1,0.49443320684656056
Decrease,Helsingborg,2,0.07574429323219399
Decrease,Helsingborg,3,-0.258358457118168
Decrease,Henriksdal,-3,-0.05483978898406068
Decrease,Henriksdal,-2,0.2247886130434568
Decrease,Henriksdal,-1,0.5848813208499467
Decrease,Henriksdal,0,0.9666462629372162
Decrease,Henriksdal,1,0.37427802811300576
Decrease,Henriksdal,2,0.004124940372439511
Decrease,Henriksdal,3,-0.18761298906709517
Decrease,Jönköping,-3,-0.0012797913409882912
Decrease,Jönköping,-2,0.505961630053059
Decrease,Jönköping,-1,0.515169588329511
Decrease,Jönköping,0,0.7564903506253144
Decrease,Jönköping,1,0.1320513666265474
Decrease,Jönköping,2,-0.008227164564897447
Decrease,Jönköping,3,-0.22777020747551735
Decrease,Kalmar,-3,0.07021955250914279
Decrease,Kalmar,-2,0.2341403587611032
Decrease,Kalmar,-1,0.5180620085719441
Decrease,Kalmar,0,0.9274990069459267
Decrease,Kalmar,1,0.31654192496709904
Decrease,Kalmar,2,-0.149044391231473
Decrease,Kalmar,3,-0.2118283129993806
Decrease,Karlstad,-3,-0.14503101389115094
Decrease,Karlstad,-2,0.15716517382091855
Decrease,Karlstad,-1,0.5175308048299784
Decrease,Karlstad,0,0.9292620845940058
Decrease,Karlstad,1,0.6950757828959463
Decrease,Karlstad,2,0.14568138763106356
Decrease,Karlstad,3,-0.2508557892865135
Decrease,Käppala,-3,-0.007697540340263551
Decrease,Käppala,-2,0.2633982240410436
Decrease,Käppala,-1,0.586146393307364
Decrease,Käppala,0,0.9352469280732145
Decrease,Käppala,1,0.32005399914280197
Decrease,Käppala,2,-0.09068336677530849
Decrease,Käppala,3,-0.21568993335863096
Decrease,Linköping,-3,0.0731364518157875
Decrease,Linköping,-2,0.30350105877834116
Decrease,Linköping,-1,0.6220294492988537
Decrease,Linköping,0,0.7538179847264835
Decrease,Linköping,1,0.11769206086003295
Decrease,Linköping,2,-0.06609749375151781
Decrease,Linköping,3,-0.1825321903194125
Decrease,Luleå,-3,0.27985239077504104
Decrease,Luleå,-2,0.6964875988657656
Decrease,Luleå,-1,0.17853855171672614
Decrease,Luleå,0,0.3963749193053877
Decrease,Luleå,1,-0.02583951371046479
Decrease,Luleå,2,-0.13995485836300256
Decrease,Luleå,3,-0.2043394818948528
Decrease,Malmö,-3,-0.14794157936262717
Decrease,Malmö,-2,0.18600939187088833
Decrease,Malmö,-1,0.5251913233936918
Decrease,Malmö,0,0.92255262571446806
Decrease,Malmö,1,0.3255264518886723
Decrease,Malmö,2,0.206247181661176
Decrease,Malmö,3,-0.12826717014583658
Decrease,Umeå,-3,-0.055047454216703866
Decrease,Umeå,-2,0.15327919607943882
Decrease,Umeå,-1,0.5072181520538762
Decrease,Umeå,0,0.9210711308297193
Decrease,Umeå,1,0.18476241084008138
Decrease,Umeå,2,0.05564842822768945
Decrease,Umeå,3,-0.1370461564924043
Decrease,Uppsala,-3,-0.07285711971593156
Decrease,Uppsala,-2,0.32873764100794595
Decrease,Uppsala,-1,0.5102541176852905
Decrease,Uppsala,0,0.8529501266728713
Decrease,Uppsala,1,0.14392408345428417
Decrease,Uppsala,2,-0.030729685278162576
Decrease,Uppsala,3,-0.136251833975354
Decrease,Västerås,-3,-0.38684365263454923
Decrease,Västerås,-2,-0.08277976313638546
Decrease,Västerås,-1,0.1123177184633703
Decrease,Västerås,0,0.9553119305182215
Decrease,Västerås,1,-0.18322515438137316
Decrease,Västerås,2,-0.213795625156177
Decrease,Västerås,3,-0.20098545367310708
Decrease,Örebro,-3,-0.14924888898080416
Decrease,Örebro,-2,-0.11642720058907628
Decrease,Örebro,-1,0.24012300392580643
Decrease,Örebro,0,0.9372999644125946
Decrease,Örebro,1,0.001050355679350013
Decrease,Örebro,2,0.052494904216698564
Decrease,Örebro,3,-0.3307998695456624
Decrease,Östersund,-3,-0.14657960983647425
Decrease,Östersund,-2,0.1825385716002555
Decrease,Östersund,-1,0.5417814476190485
Decrease,Östersund,0,0.9212569708754593
Decrease,Östersund,1,0.31802277283424263
Decrease,Östersund,2,0.09963720310770867
Decrease,Östersund,3,-0.11676388769981398
Decrease,Östhammar,-3,-0.25105880140413706
Decrease,Östhammar,-2,-0.00184046135956418
Decrease,Östhammar,-1,0.47991216259547487
Decrease,Östhammar,0,0.7590031852254306
Decrease,Östhammar,1,0.795351339903485
Decrease,Östhammar,2,0.15086392190603395
Decrease,Östhammar,3,-0.08871297789779058
Decrease,Stockholm,-2,-0.5034995623210144
Decrease,Stockholm,-1,0.009904126984758984
Decrease,Stockholm,0,0.999762888442829
Decrease,Stockholm,1,-0.01523990855587621
Decrease,Stockholm,2,-0.49092754455069715
Decrease,National,-2,-0.5594255409366289
Decrease,National,-1,0.18235099952968128
Decrease,National,0,0.9442423611513766
Decrease,National,1,-0.19783555714528148
Decrease,National,2,-0.3693322625991476
