period,location,lag_-3,lag_-2,lag_-1,lag_0,lag_1,lag_2,lag_3
Full study period,Bromma,0.7749884563091748,0.8142083519452342,0.8403979826863509,0.8036357635834374,0.7178953501666001,0.5936030455601817,0.4481891027904376
Full study period,Grödinge,0.7051652597473935,0.7470521720849379,0.7907925297881642,0.8015447646228927,0.7809882337471974,0.7233709856165483,0.5910436846079605
Full study period,Gävle,0.5821158576199404,0.6041650284650448,0.7231359089264094,0.8359126771899763,0.8490216665241291,0.8202771734177515,0.7361733767910511
Full study period,Göteborg,0.267397901118354,0.3746387084235914,0.49243244199555386,0.5321961767413399,0.6057382580465004,0.5487260777099837,0.6112787557867305
Full study period,Helsingborg,0.7400719957969304,0.7601068982043326,0.7975074888883475,0.776996722052518,0.76462616280264,0.6027255857334116,0.479848954178343
Full study period,Henriksdal,0.7040052238430932,0.8001061358532012,0.8662228013288571,0.8955735565289248,0.8640007990410097,0.7889676226526664,0.6756803373908534
Full study period,Jönköping,0.6726467724605808,0.7801924383272199,0.8017468676185799,0.8586417968377535,0.8487716378607536,0.7220417034510317,0.5914271652250475
Full study period,Kalmar,0.563726886962839,0.6921634923832696,0.8302122428618782,0.911405567527357,0.8982617058134891,0.8172955420757088,0.6521363617066348
Full study period,Karlstad,0.6157861222583147,0.7348566995993655,0.8120073215342427,0.8507813001194824,0.8042400425766221,0.7392415770384282,0.6011271241912108
Full study period,Käppala,0.602982885105478,0.6741274788047985,0.7470219588705139,0.790405396588719,0.7605925126499812,0.659249702760435,0.522484736849715
Full study period,Linköping,0.7431538494261879,0.8363722247618538,0.8896673667324791,0.8593982138458031,0.6950121576055311,0.6020313217972767,0.4840288115440057
Full study period,Luleå,0.24727608756769248,0.3483124613739802,0.480388744466905,0.6540846016393735,0.5934831704924315,0.4783979209978455,0.5059357065787524
Full study period,Malmö,0.6814794217009567,0.7593695637538288,0.8361539073187044,0.7648540275399208,0.692916019969268,0.6048979169551255,0.5192395726827964
Full study period,Umeå,0.6024411122860801,0.6668830678688082,0.7891460942780174,0.8907588061865762,0.8093038691352158,0.6297729585448563,0.5028642526382332
Full study period,Uppsala,0.5053110434287088,0.6654027235836516,0.7268112592070686,0.8004234386911062,0.7949404496996756,0.6145609860102816,0.6318404591862875
Full study period,Västerås,0.5459472749505097,0.6684656743721648,0.7663121544941077,0.8234323263127601,0.7860578689465071,0.6378893418309939,0.46867013514857764
Full study period,Örebro,0.6279936244382898,0.7471106656038125,0.859796022853265,0.8595970105062247,0.8058217984465342,0.6780101748977315,0.5337325867288337
Full study period,Östersund,0.42027991079641047,0.5719240090896317,0.6466950410810213,0.7891722192475711,0.8760914316430386,0.7411974814639499,0.6312332240660802
Full study period,Östhammar,0.4013967751912948,0.5995061051628431,0.6633297127884449,0.6060826311330993,0.4682668690395232,0.35132864896057153,0.18147849895801993
Full study period,Stockholm,0.6602761708806523,0.7621281616435491,0.8338657491865551,0.8705521324794565,0.8144549729043766,0.7129236754895614,0.5665677631271584
Full study period,National,0.5901194051795398,0.6985232838514436,0.8082819727461547,0.8723763055457262,0.8628713693549148,0.7380212035448258,0.6694347719271474
Increase,Bromma,-0.3353021537566329,0.2687903740464989,0.6445680531491809,0.863070951247906,0.5180942456865044,0.08402115958795123,-0.22305161776498578
Increase,Grödinge,0.009231912878295024,0.29027743367236364,0.7282206970408471,0.8501189799170357,0.4149636217222824,-0.038877735362290514,-0.32781555448158384
Increase,Gävle,-0.3154610577121744,0.07767314741827956,0.22684557431495853,0.9185714870742018,0.44688694197006557,0.4981271479445669,-0.04686715196437973
Increase,Göteborg,-0.20214822575479957,0.48167857911723516,0.7212060391601489,0.7571895843593838,0.38174441304678663,9.559899652934235e-4,-0.26210453780165843
Increase,Helsingborg,0.18673008240921013,0.708892433601995,0.5710936108619691,0.189130426345645,0.08369409816121925,-0.13813355229379637,-0.3808356828547173
Increase,Henriksdal,-0.027115470353401668,0.2695235152524612,0.5905099426265605,0.9395917760848694,0.5534815707414646,0.04111954143978374,-0.2818831680007769
Increase,Jönköping,0.014407925123526294,0.037073429531483806,0.006332269577333648,0.7642837626255828,0.4880592608067566,0.11854097541099022,-0.15227661760607913
Increase,Kalmar,-0.11863496408812818,-0.003137875747220297,0.17067635139728238,0.804018588172665,0.6528586805165617,0.1742491956709884,-0.1569637730614332
Increase,Karlstad,-0.23977941855920895,-0.026781507255502667,0.639121238216109,0.7893231113915419,0.4834956182047359,0.22372546629260592,-0.19474787510072758
Increase,Käppala,-0.23133800447989955,-0.09752986236366998,0.2628886245068273,0.9018779559404113,0.6806037335977126,0.23833942612967088,-0.08727767783867753
Increase,Linköping,-0.5089293117707596,0.017777655079265885,0.6163033680145303,0.9424675232885363,0.2549386853923628,-0.2919392166236193,-0.41055132592006427
Increase,Luleå,-0.16123358065480137,-0.5153399967397444,-0.33649510422838036,0.7723451671399205,0.5737619489518991,-0.07545746532762133,-0.42242881474455457
Increase,Malmö,-0.1692907811123464,-0.0683824055232405,0.8478746987922088,0.43591633051653955,0.2081951298560502,0.061684635038706546,-0.0764130176216352
Increase,Umeå,-0.23444280035087528,0.4411716286708489,0.6642394149452371,0.8831251269165346,0.35642613292139963,0.043964608692537696,-0.2964100825683024
Increase,Uppsala,-0.30938809587236343,0.22935151292812256,0.6042802067590947,0.955298305589647,0.4720600828494062,0.15128244168662922,-0.21348067319822514
Increase,Västerås,-0.08311335163058929,0.1195717682678955,0.1472820588118093,0.7099441650708704,0.6384422316274412,0.1847990632413201,-0.16569957472057537
Increase,Örebro,-0.1968920583854656,0.007614085087270371,0.25073369376862903,0.8414560899241305,0.6394693670118643,0.33679454108919576,-0.10489091867733376
Increase,Östersund,-0.19565671417867003,0.05225092060172438,0.3125303790779308,0.7479808739385645,0.8297580856898765,0.21065842006264124,-0.10001711263453111
Increase,Östhammar,-0.2365929395976235,-0.19016370493638748,0.33394047635140567,0.8920642748381905,0.547999760568658,0.2762115903216303,-0.0901136047465904
Increase,Stockholm,-0.2261341969858013,0.15456028535012661,0.557548081783776,0.9814971057895845,0.6315803641654597,0.13109489758124965,-0.21612389183502898
Increase,National,-0.22379442758339418,0.16057368868222258,0.6440593275623826,0.9882402804544079,0.5639850390195418,0.14104684846158685,-0.203212635782997
Decrease,Bromma,-0.09977618813393573,0.1899047652373088,0.5642844760495332,0.9882179021319675,0.48094340658051,0.055195921689042034,-0.16051937570631197
Decrease,Grödinge,-0.14199685015822014,0.180038576888503,0.5794279567670598,0.9923168926416177,0.576338381149958,0.12898239209588971,-0.2240155517935918
Decrease,Gävle,-0.15674089131336122,0.2848340974023346,0.7237349466128375,0.9448546162679422,0.5665673636903835,-0.005397608913355061,-0.3390825743142496
Decrease,Göteborg,5.141485590556678e-4,0.28446791345611533,0.643919600318354,0.6922106629008703,0.017612835980875676,-0.08367863107107346,-0.16371903322848608
Decrease,Helsingborg,-0.13748577507250756,0.21196794186583182,0.6100872595407463,0.9837249154525028,0.49443320684656056,0.07574429323219399,-0.258358457118168
Decrease,Henriksdal,-0.05483978898406068,0.2247886130434568,0.5848813208499467,0.9666462629372162,0.37427802811300576,0.004124940372439511,-0.18761298906709517
Decrease,Jönköping,-0.0012797913409882912,0.505961630053059,0.515169588329511,0.7564903506253144,0.1320513666265474,-0.008227164564897447,-0.22777020747551735
Decrease,Kalmar,0.07021955250914279,0.2341403587611032,0.5180620085719441,0.9274990069459267,0.31654192496709904,-0.149044391231473,-0.2118283129993806
Decrease,Karlstad,-0.14503101389115094,0.15716517382091855,0.5175308048299784,0.9292620845940058,0.6950757828959463,0.14568138763106356,-0.2508557892865135
Decrease,Käppala,-0.007697540340263551,0.2633982240410436,0.586146393307364,0.9352469280732145,0.32005399914280197,-0.09068336677530849,-0.21568993335863096
Decrease,Linköping,0.0731364518157875,0.30350105877834116,0.6220294492988537,0.7538179847264835,0.11769206086003295,-0.06609749375151781,-0.1825321903194125
Decrease,Luleå,0.27985239077504104,0.6964875988657656,0.17853855171672614,0.3963749193053877,-0.02583951371046479,-0.13995485836300256,-0.2043394818948528
