location,lag,correlation
Bromma,-3,0.14057099487852295
Bromma,-2,0.26001896181252193
Bromma,-1,0.4696326635913867
Bromma,0,0.553096509387302
Bromma,1,0.3735954522412579
Bromma,2,0.11519397498800707
Bromma,3,-0.06819820585869087
Grödinge,-3,0.21008265140562388
Grödinge,-2,0.4549775391028493
Grödinge,-1,0.49138090597323414
Grödinge,0,0.35298639170088014
Grödinge,1,0.18059106545269427
Grödinge,2,0.21896545970809422
Grödinge,3,0.1811346368183536
Gävle,-3,0.07260277913627816
Gävle,-2,0.09159281438325538
Gävle,-1,0.14772417407020183
Gävle,0,0.34275068149787014
Gävle,1,0.3275085631289694
Gävle,2,0.19503952829625515
Gävle,3,0.15275577311328245
Göteborg,-3,0.2646488399872298
Göteborg,-2,0.2518399968452917
Göteborg,-1,0.20272778242070139
Göteborg,0,0.2297745456091645
Göteborg,1,0.06685469171246039
Göteborg,2,-0.08507526857529432
Göteborg,3,0.04461171750115574
Helsingborg,-3,0.34745606451795485
Helsingborg,-2,0.2510033220359457
Helsingborg,-1,0.281684164348552
Helsingborg,0,0.3826389697345659
Helsingborg,1,0.38010377681943436
Helsingborg,2,0.4049612244634088
Helsingborg,3,0.14680068460172288
Henriksdal,-3,0.20791396815939994
Henriksdal,-2,0.2111914812670404
Henriksdal,-1,0.32493064343769806
Henriksdal,0,0.37945358582926586
Henriksdal,1,0.4166099244481222
Henriksdal,2,0.3287758610744304
Henriksdal,3,-0.0031124403450295155
Jönköping,-3,-0.0434606417523912
Jönköping,-2,0.10878221410373949
Jönköping,-1,0.1903134820548231
Jönköping,0,0.19725967513087922
Jönköping,1,0.08010534593796419
Jönköping,2,-0.020497400465427026
Jönköping,3,0.23236667105529052
Kalmar,-3,0.23706878914683446
Kalmar,-2,-0.017213517279995972
Kalmar,-1,0.0709299224185607
Kalmar,0,0.3062905385288052
Kalmar,1,0.23050358283287864
Kalmar,2,0.3307685811471508
Kalmar,3,0.18118078397632792
Karlstad,-3,0.029485505827515975
Karlstad,-2,0.14995101312058637
Karlstad,-1,0.32343682400164975
Karlstad,0,0.3093581481500285
Karlstad,1,0.3772606733348795
Karlstad,2,0.24346562399782182
Karlstad,3,-0.03406981518384112
Käppala,-3,0.17930626728541665
Käppala,-2,0.15306287652986497
Käppala,-1,0.3720954005886096
Käppala,0,0.5214186241041429
Käppala,1,0.5037100355891907
Käppala,2,0.4243004873691508
Käppala,3,0.10627996942115625
Linköping,-3,0.0229082184595488
Linköping,-2,0.3027614082883889
Linköping,-1,0.4934603351235995
Linköping,0,0.43817412182054816
Linköping,1,0.10218418439646654
Linköping,2,0.04092738132289439
Linköping,3,0.13785434011145464
Luleå,-3,0.1475023351667693
Luleå,-2,0.08830988967810043
Luleå,-1,0.16839907379111807
Luleå,0,0.3175339622845191
Luleå,1,0.21375071426597234
Luleå,2,0.042466452280735145
Luleå,3,0.02356234774342147
Malmö,-3,0.181928218093076
Malmö,-2,0.2034981042248702
Malmö,-1,0.3558360542685815
Malmö,0,0.3426323409926022
Malmö,1,0.29713923351545485
Malmö,2,0.26853664950905876
Malmö,3,0.12355772998509817
Umeå,-3,0.08059717200075682
Umeå,-2,0.4041925589451004
Umeå,-1,0.30140843812208473
Umeå,0,0.33561735693793976
Umeå,1,0.33935932531897944
Umeå,2,0.018065407230118968
Umeå,3,0.04666508798263403
Uppsala,-3,-0.02129256720233235
Uppsala,-2,0.18270439289153625
Uppsala,-1,0.3887654648039905
Uppsala,0,0.4992690232910598
Uppsala,1,0.266580702372052
Uppsala,2,0.049250763443940186
Uppsala,3,0.0956061405949281
Västerås,-3,-0.050999909701846584
Västerås,-2,0.21548724816923154
Västerås,-1,0.3111860155921248
Västerås,0,0.2540128267796907
Västerås,1,0.055184574391365614
Västerås,2,0.07281822135802524
Västerås,3,0.16191349148628073
Örebro,-3,0.19425825406005454
Örebro,-2,-0.10269683841035895
Örebro,-1,0.16880716861426723
Örebro,0,0.28061126262276465
Örebro,1,0.09969957753701862
Örebro,2,0.07277835154336933
Örebro,3,0.07022857544078834
Östersund,-3,0.14594573656888832
Östersund,-2,0.30315757655118675
Östersund,-1,0.25065814126722197
Östersund,0,0.3074465132353611
Östersund,1,0.1984204392821416
Östersund,2,0.2643897869355562
Östersund,3,0.27592311675689435
Östhammar,-3,-0.0656885638698128
Östhammar,-2,0.038296511974642046
Östhammar,-1,0.11858311984798243
Östhammar,0,0.07055470986927066
Östhammar,1,-0.190546694078811
Östhammar,2,-0.13622850926764754
Östhammar,3,-0.09593638961605896
Stockholm,-3,0.1575806190078991
Stockholm,-2,0.016579531882416586
Stockholm,-1,0.24101657985039027
Stockholm,0,0.7622283790052965
Stockholm,1,0.3140568413354726
Stockholm,2,0.06110871976449189
Stockholm,3,-0.06156236386071159
National,-3,0.0888488254185211
National,-2,-0.038647403080807934
National,-1,0.20295852273266135
National,0,0.8242552998155869
National,1,0.2347318791002083
National,2,-0.0705728552199494
National,3,-0.024570729816647124
