trend_type,location,threshold,lag,n,tp,fp,fn,tn,sensitivity,sensitivity_lower,sensitivity_upper,specificity,specificity_lower,specificity_upper,ppv,ppv_lower,ppv_upper,npv,npv_lower,npv_upper
Three-week,National,>10%,-3,53,6,11,10,26,0.375,0.13778412902218878,0.6122158709778112,0.7027027027027027,0.555427875624525,0.8499775297808805,0.35294117647058826,0.12577342637956165,0.5801089265616148,0.7222222222222222,0.5759098627708875,0.8685345816735569
Three-week,National,>10%,-2,54,9,8,8,29,0.5294117647058824,0.2921427880384283,0.7666807413733364,0.7837837837837838,0.6511392073196431,0.9164283602479244,0.5294117647058824,0.2921427880384283,0.7666807413733364,0.7837837837837838,0.6511392073196431,0.9164283602479244
Three-week,National,>10%,-1,55,12,6,6,31,0.6666666666666666,0.44889289060666066,0.8844404427266725,0.8378378378378378,0.7190691449033815,0.9566065307722942,0.6666666666666666,0.44889289060666066,0.8844404427266725,0.8378378378378378,0.7190691449033815,0.9566065307722942
Three-week,National,>10%,0,56,13,6,5,32,0.7222222222222222,0.5153052991433373,0.9291391453011071,0.8421052631578947,0.7261679288969681,0.9580425974188213,0.6842105263157895,0.47520152460660026,0.8932195280249787,0.8648648648648649,0.7547095398402583,0.9750201898894715
Three-week,Stockholm,>10%,-3,53,6,11,13,23,0.3157894736842105,0.10678047197502125,0.5247984753933997,0.6764705882352942,0.5192208337526666,0.8337203427179217,0.35294117647058826,0.12577342637956165,0.5801089265616148,0.6388888888888888,0.4819863633915309,0.7957914143862468
Three-week,Stockholm,>10%,-2,54,8,9,12,25,0.4,0.18529670275394122,0.6147032972460589,0.7352941176470589,0.5870010072299001,0.8835872280642176,0.47058823529411764,0.23331925862666358,0.7078572119615717,0.6756756756756757,0.5248392848124498,0.8265120665389015
Three-week,Stockholm,>10%,-1,55,11,7,10,27,0.5238095238095238,0.3102025184592029,0.7374165291598448,0.7941176470588235,0.6582047663534085,0.9300305277642384,0.6111111111111112,0.38590265364779697,0.8363195685744254,0.7297297297297297,0.5866337649795682,0.8728256944798912
Three-week,Stockholm,>10%,0,56,14,5,7,30,0.6666666666666666,0.4650473275869466,0.8682860057463866,0.8571428571428571,0.7412139734329284,0.9730717408527858,0.7368421052631579,0.53884141257843865,0.9348427979478771,0.8108108108108109,0.6846120320288801,0.9370095895927416
Three-week,National,>25%,-3,53,2,10,7,34,0.2222222222222222,0,0.493833841502414,0.7727272727272727,0.6489022162290723,0.8965523292254731,0.16666666666666666,0,0.37752521864694333,0.8292682926829268,0.7140926128284221,0.9444439725374315
Three-week,National,>25%,-2,54,2,10,8,34,0.2,0,0.44791801292182465,0.7727272727272727,0.6489022162290723,0.8965523292254731,0.16666666666666666,0,0.37752521864694333,0.8095238095238095,0.6907669764962512,0.9282806425513679
